"productkey","productalternatekey","product_name","productcategorykey","productcategoryalternatekey","product_category","productsubcategorykey","productsubcategoryalternatekey","product_subcategory"
583,"BK-R79Y-48","Road-350-W Yellow, 48",1,1,"Bikes",2,2,"Road Bikes"
582,"BK-R79Y-44","Road-350-W Yellow, 44",1,1,"Bikes",2,2,"Road Bikes"
581,"BK-R79Y-42","Road-350-W Yellow, 42",1,1,"Bikes",2,2,"Road Bikes"
580,"BK-R79Y-40","Road-350-W Yellow, 40",1,1,"Bikes",2,2,"Road Bikes"
579,"BK-T44U-54","Touring-2000 Blue, 54",1,1,"Bikes",3,3,"Touring Bikes"
578,"BK-T44U-50","Touring-2000 Blue, 50",1,1,"Bikes",3,3,"Touring Bikes"
606,"BK-R19B-52","Road-750 Black, 52",1,1,"Bikes",2,2,"Road Bikes"
605,"BK-R19B-48","Road-750 Black, 48",1,1,"Bikes",2,2,"Road Bikes"
604,"BK-R19B-44","Road-750 Black, 44",1,1,"Bikes",2,2,"Road Bikes"
600,"BK-M18B-52","Mountain-500 Black, 52",1,1,"Bikes",1,1,"Mountain Bikes"
599,"BK-M18B-48","Mountain-500 Black, 48",1,1,"Bikes",1,1,"Mountain Bikes"
598,"BK-M18B-44","Mountain-500 Black, 44",1,1,"Bikes",1,1,"Mountain Bikes"
597,"BK-M18B-42","Mountain-500 Black, 42",1,1,"Bikes",1,1,"Mountain Bikes"
596,"BK-M18B-40","Mountain-500 Black, 40",1,1,"Bikes",1,1,"Mountain Bikes"
595,"BK-M18S-52","Mountain-500 Silver, 52",1,1,"Bikes",1,1,"Mountain Bikes"
594,"BK-M18S-48","Mountain-500 Silver, 48",1,1,"Bikes",1,1,"Mountain Bikes"
593,"BK-M18S-44","Mountain-500 Silver, 44",1,1,"Bikes",1,1,"Mountain Bikes"
592,"BK-M18S-42","Mountain-500 Silver, 42",1,1,"Bikes",1,1,"Mountain Bikes"
591,"BK-M18S-40","Mountain-500 Silver, 40",1,1,"Bikes",1,1,"Mountain Bikes"
590,"BK-M38S-46","Mountain-400-W Silver, 46",1,1,"Bikes",1,1,"Mountain Bikes"
589,"BK-M38S-42","Mountain-400-W Silver, 42",1,1,"Bikes",1,1,"Mountain Bikes"
588,"BK-M38S-40","Mountain-400-W Silver, 40",1,1,"Bikes",1,1,"Mountain Bikes"
587,"BK-M38S-38","Mountain-400-W Silver, 38",1,1,"Bikes",1,1,"Mountain Bikes"
586,"BK-T18U-50","Touring-3000 Blue, 50",1,1,"Bikes",3,3,"Touring Bikes"
335,"BK-R50B-60","Road-650 Black, 60",1,1,"Bikes",2,2,"Road Bikes"
585,"BK-T18U-44","Touring-3000 Blue, 44",1,1,"Bikes",3,3,"Touring Bikes"
584,"BK-R19B-58","Road-750 Black, 58",1,1,"Bikes",2,2,"Road Bikes"
310,"BK-R93R-62","Road-150 Red, 62",1,1,"Bikes",2,2,"Road Bikes"
311,"BK-R93R-44","Road-150 Red, 44",1,1,"Bikes",2,2,"Road Bikes"
312,"BK-R93R-48","Road-150 Red, 48",1,1,"Bikes",2,2,"Road Bikes"
313,"BK-R93R-52","Road-150 Red, 52",1,1,"Bikes",2,2,"Road Bikes"
314,"BK-R93R-56","Road-150 Red, 56",1,1,"Bikes",2,2,"Road Bikes"
315,"BK-R68R-58","Road-450 Red, 58",1,1,"Bikes",2,2,"Road Bikes"
316,"BK-R68R-60","Road-450 Red, 60",1,1,"Bikes",2,2,"Road Bikes"
317,"BK-R68R-44","Road-450 Red, 44",1,1,"Bikes",2,2,"Road Bikes"
318,"BK-R68R-48","Road-450 Red, 48",1,1,"Bikes",2,2,"Road Bikes"
319,"BK-R68R-52","Road-450 Red, 52",1,1,"Bikes",2,2,"Road Bikes"
320,"BK-R50R-58","Road-650 Red, 58",1,1,"Bikes",2,2,"Road Bikes"
321,"BK-R50R-58","Road-650 Red, 58",1,1,"Bikes",2,2,"Road Bikes"
322,"BK-R50R-60","Road-650 Red, 60",1,1,"Bikes",2,2,"Road Bikes"
323,"BK-R50R-60","Road-650 Red, 60",1,1,"Bikes",2,2,"Road Bikes"
324,"BK-R50R-62","Road-650 Red, 62",1,1,"Bikes",2,2,"Road Bikes"
325,"BK-R50R-62","Road-650 Red, 62",1,1,"Bikes",2,2,"Road Bikes"
326,"BK-R50R-44","Road-650 Red, 44",1,1,"Bikes",2,2,"Road Bikes"
327,"BK-R50R-44","Road-650 Red, 44",1,1,"Bikes",2,2,"Road Bikes"
328,"BK-R50R-48","Road-650 Red, 48",1,1,"Bikes",2,2,"Road Bikes"
329,"BK-R50R-48","Road-650 Red, 48",1,1,"Bikes",2,2,"Road Bikes"
330,"BK-R50R-52","Road-650 Red, 52",1,1,"Bikes",2,2,"Road Bikes"
331,"BK-R50R-52","Road-650 Red, 52",1,1,"Bikes",2,2,"Road Bikes"
332,"BK-R50B-58","Road-650 Black, 58",1,1,"Bikes",2,2,"Road Bikes"
333,"BK-R50B-58","Road-650 Black, 58",1,1,"Bikes",2,2,"Road Bikes"
334,"BK-R50B-60","Road-650 Black, 60",1,1,"Bikes",2,2,"Road Bikes"
336,"BK-R50B-62","Road-650 Black, 62",1,1,"Bikes",2,2,"Road Bikes"
337,"BK-R50B-62","Road-650 Black, 62",1,1,"Bikes",2,2,"Road Bikes"
577,"BK-T44U-46","Touring-2000 Blue, 46",1,1,"Bikes",3,3,"Touring Bikes"
576,"BK-T79U-60","Touring-1000 Blue, 60",1,1,"Bikes",3,3,"Touring Bikes"
575,"BK-T79U-54","Touring-1000 Blue, 54",1,1,"Bikes",3,3,"Touring Bikes"
574,"BK-T79U-50","Touring-1000 Blue, 50",1,1,"Bikes",3,3,"Touring Bikes"
573,"BK-T79U-46","Touring-1000 Blue, 46",1,1,"Bikes",3,3,"Touring Bikes"
572,"BK-T18Y-62","Touring-3000 Yellow, 62",1,1,"Bikes",3,3,"Touring Bikes"
571,"BK-T18Y-58","Touring-3000 Yellow, 58",1,1,"Bikes",3,3,"Touring Bikes"
570,"BK-T18Y-54","Touring-3000 Yellow, 54",1,1,"Bikes",3,3,"Touring Bikes"
569,"BK-T18Y-50","Touring-3000 Yellow, 50",1,1,"Bikes",3,3,"Touring Bikes"
568,"BK-T18Y-44","Touring-3000 Yellow, 44",1,1,"Bikes",3,3,"Touring Bikes"
567,"BK-T18U-62","Touring-3000 Blue, 62",1,1,"Bikes",3,3,"Touring Bikes"
566,"BK-T18U-58","Touring-3000 Blue, 58",1,1,"Bikes",3,3,"Touring Bikes"
565,"BK-T18U-54","Touring-3000 Blue, 54",1,1,"Bikes",3,3,"Touring Bikes"
564,"BK-T79Y-60","Touring-1000 Yellow, 60",1,1,"Bikes",3,3,"Touring Bikes"
563,"BK-T79Y-54","Touring-1000 Yellow, 54",1,1,"Bikes",3,3,"Touring Bikes"
562,"BK-T79Y-50","Touring-1000 Yellow, 50",1,1,"Bikes",3,3,"Touring Bikes"
561,"BK-T79Y-46","Touring-1000 Yellow, 46",1,1,"Bikes",3,3,"Touring Bikes"
560,"BK-T44U-60","Touring-2000 Blue, 60",1,1,"Bikes",3,3,"Touring Bikes"
442,"FR-R92B-48","HL Road Frame - Black, 48",2,2,"Components",14,14,"Road Frames"
443,"FR-R92B-52","HL Road Frame - Black, 52",2,2,"Components",14,14,"Road Frames"
444,"FR-R92B-52","HL Road Frame - Black, 52",2,2,"Components",14,14,"Road Frames"
557,"CS-6583","ML Crankset",2,2,"Components",8,8,"Cranksets"
211,"FR-R92R-58","HL Road Frame - Red, 58",2,2,"Components",14,14,"Road Frames"
238,"FR-R92R-62","HL Road Frame - Red, 62",2,2,"Components",14,14,"Road Frames"
239,"FR-R92R-62","HL Road Frame - Red, 62",2,2,"Components",14,14,"Road Frames"
240,"FR-R92R-62","HL Road Frame - Red, 62",2,2,"Components",14,14,"Road Frames"
241,"FR-R92R-44","HL Road Frame - Red, 44",2,2,"Components",14,14,"Road Frames"
242,"FR-R92R-44","HL Road Frame - Red, 44",2,2,"Components",14,14,"Road Frames"
243,"FR-R92R-44","HL Road Frame - Red, 44",2,2,"Components",14,14,"Road Frames"
244,"FR-R92R-48","HL Road Frame - Red, 48",2,2,"Components",14,14,"Road Frames"
245,"FR-R92R-48","HL Road Frame - Red, 48",2,2,"Components",14,14,"Road Frames"
246,"FR-R92R-48","HL Road Frame - Red, 48",2,2,"Components",14,14,"Road Frames"
247,"FR-R92R-52","HL Road Frame - Red, 52",2,2,"Components",14,14,"Road Frames"
248,"FR-R92R-52","HL Road Frame - Red, 52",2,2,"Components",14,14,"Road Frames"
249,"FR-R92R-52","HL Road Frame - Red, 52",2,2,"Components",14,14,"Road Frames"
250,"FR-R92R-56","HL Road Frame - Red, 56",2,2,"Components",14,14,"Road Frames"
251,"FR-R92R-56","HL Road Frame - Red, 56",2,2,"Components",14,14,"Road Frames"
252,"FR-R92R-56","HL Road Frame - Red, 56",2,2,"Components",14,14,"Road Frames"
253,"FR-R38B-58","LL Road Frame - Black, 58",2,2,"Components",14,14,"Road Frames"
254,"FR-R38B-58","LL Road Frame - Black, 58",2,2,"Components",14,14,"Road Frames"
255,"FR-R38B-58","LL Road Frame - Black, 58",2,2,"Components",14,14,"Road Frames"
256,"FR-R38B-60","LL Road Frame - Black, 60",2,2,"Components",14,14,"Road Frames"
257,"FR-R38B-60","LL Road Frame - Black, 60",2,2,"Components",14,14,"Road Frames"
258,"FR-R38B-60","LL Road Frame - Black, 60",2,2,"Components",14,14,"Road Frames"
259,"FR-R38B-62","LL Road Frame - Black, 62",2,2,"Components",14,14,"Road Frames"
260,"FR-R38B-62","LL Road Frame - Black, 62",2,2,"Components",14,14,"Road Frames"
261,"FR-R38B-62","LL Road Frame - Black, 62",2,2,"Components",14,14,"Road Frames"
262,"FR-R38R-44","LL Road Frame - Red, 44",2,2,"Components",14,14,"Road Frames"
263,"FR-R38R-44","LL Road Frame - Red, 44",2,2,"Components",14,14,"Road Frames"
264,"FR-R38R-48","LL Road Frame - Red, 48",2,2,"Components",14,14,"Road Frames"
265,"FR-R38R-48","LL Road Frame - Red, 48",2,2,"Components",14,14,"Road Frames"
266,"FR-R38R-52","LL Road Frame - Red, 52",2,2,"Components",14,14,"Road Frames"
267,"FR-R38R-52","LL Road Frame - Red, 52",2,2,"Components",14,14,"Road Frames"
268,"FR-R38R-58","LL Road Frame - Red, 58",2,2,"Components",14,14,"Road Frames"
269,"FR-R38R-58","LL Road Frame - Red, 58",2,2,"Components",14,14,"Road Frames"
270,"FR-R38R-60","LL Road Frame - Red, 60",2,2,"Components",14,14,"Road Frames"
271,"FR-R38R-60","LL Road Frame - Red, 60",2,2,"Components",14,14,"Road Frames"
272,"FR-R38R-62","LL Road Frame - Red, 62",2,2,"Components",14,14,"Road Frames"
273,"FR-R38R-62","LL Road Frame - Red, 62",2,2,"Components",14,14,"Road Frames"
274,"FR-R72R-44","ML Road Frame - Red, 44",2,2,"Components",14,14,"Road Frames"
275,"FR-R72R-48","ML Road Frame - Red, 48",2,2,"Components",14,14,"Road Frames"
276,"FR-R72R-52","ML Road Frame - Red, 52",2,2,"Components",14,14,"Road Frames"
277,"FR-R72R-58","ML Road Frame - Red, 58",2,2,"Components",14,14,"Road Frames"
278,"FR-R72R-60","ML Road Frame - Red, 60",2,2,"Components",14,14,"Road Frames"
279,"FR-R38B-44","LL Road Frame - Black, 44",2,2,"Components",14,14,"Road Frames"
280,"FR-R38B-44","LL Road Frame - Black, 44",2,2,"Components",14,14,"Road Frames"
281,"FR-R38B-44","LL Road Frame - Black, 44",2,2,"Components",14,14,"Road Frames"
282,"FR-R38B-48","LL Road Frame - Black, 48",2,2,"Components",14,14,"Road Frames"
283,"FR-R38B-48","LL Road Frame - Black, 48",2,2,"Components",14,14,"Road Frames"
284,"FR-R38B-48","LL Road Frame - Black, 48",2,2,"Components",14,14,"Road Frames"
285,"FR-R38B-52","LL Road Frame - Black, 52",2,2,"Components",14,14,"Road Frames"
286,"FR-R38B-52","LL Road Frame - Black, 52",2,2,"Components",14,14,"Road Frames"
287,"FR-R38B-52","LL Road Frame - Black, 52",2,2,"Components",14,14,"Road Frames"
288,"FR-M94S-42","HL Mountain Frame - Silver, 42",2,2,"Components",12,12,"Mountain Frames"
289,"FR-M94S-42","HL Mountain Frame - Silver, 42",2,2,"Components",12,12,"Mountain Frames"
290,"FR-M94S-42","HL Mountain Frame - Silver, 42",2,2,"Components",12,12,"Mountain Frames"
291,"FR-M94S-44","HL Mountain Frame - Silver, 44",2,2,"Components",12,12,"Mountain Frames"
292,"FR-M94S-52","HL Mountain Frame - Silver, 48",2,2,"Components",12,12,"Mountain Frames"
293,"FR-M94S-46","HL Mountain Frame - Silver, 46",2,2,"Components",12,12,"Mountain Frames"
294,"FR-M94S-46","HL Mountain Frame - Silver, 46",2,2,"Components",12,12,"Mountain Frames"
295,"FR-M94S-46","HL Mountain Frame - Silver, 46",2,2,"Components",12,12,"Mountain Frames"
296,"FR-M94B-42","HL Mountain Frame - Black, 42",2,2,"Components",12,12,"Mountain Frames"
297,"FR-M94B-42","HL Mountain Frame - Black, 42",2,2,"Components",12,12,"Mountain Frames"
298,"FR-M94B-42","HL Mountain Frame - Black, 42",2,2,"Components",12,12,"Mountain Frames"
299,"FR-M94B-44","HL Mountain Frame - Black, 44",2,2,"Components",12,12,"Mountain Frames"
300,"FR-M94B-48","HL Mountain Frame - Black, 48",2,2,"Components",12,12,"Mountain Frames"
301,"FR-M94B-46","HL Mountain Frame - Black, 46",2,2,"Components",12,12,"Mountain Frames"
302,"FR-M94B-46","HL Mountain Frame - Black, 46",2,2,"Components",12,12,"Mountain Frames"
303,"FR-M94B-46","HL Mountain Frame - Black, 46",2,2,"Components",12,12,"Mountain Frames"
304,"FR-M94B-38","HL Mountain Frame - Black, 38",2,2,"Components",12,12,"Mountain Frames"
305,"FR-M94B-38","HL Mountain Frame - Black, 38",2,2,"Components",12,12,"Mountain Frames"
306,"FR-M94B-38","HL Mountain Frame - Black, 38",2,2,"Components",12,12,"Mountain Frames"
307,"FR-M94S-38","HL Mountain Frame - Silver, 38",2,2,"Components",12,12,"Mountain Frames"
308,"FR-M94S-38","HL Mountain Frame - Silver, 38",2,2,"Components",12,12,"Mountain Frames"
309,"FR-M94S-38","HL Mountain Frame - Silver, 38",2,2,"Components",12,12,"Mountain Frames"
391,"FK-1639","LL Fork",2,2,"Components",10,10,"Forks"
392,"FK-5136","ML Fork",2,2,"Components",10,10,"Forks"
393,"FK-9939","HL Fork",2,2,"Components",10,10,"Forks"
394,"HS-0296","LL Headset",2,2,"Components",11,11,"Headsets"
395,"HS-2451","ML Headset",2,2,"Components",11,11,"Headsets"
396,"HS-3479","HL Headset",2,2,"Components",11,11,"Headsets"
397,"HB-M243","LL Mountain Handlebars",2,2,"Components",4,4,"Handlebars"
398,"HB-M243","LL Mountain Handlebars",2,2,"Components",4,4,"Handlebars"
399,"HB-M763","ML Mountain Handlebars",2,2,"Components",4,4,"Handlebars"
400,"HB-M763","ML Mountain Handlebars",2,2,"Components",4,4,"Handlebars"
401,"HB-M918","HL Mountain Handlebars",2,2,"Components",4,4,"Handlebars"
402,"HB-M918","HL Mountain Handlebars",2,2,"Components",4,4,"Handlebars"
403,"HB-R504","LL Road Handlebars",2,2,"Components",4,4,"Handlebars"
404,"HB-R504","LL Road Handlebars",2,2,"Components",4,4,"Handlebars"
405,"HB-R720","ML Road Handlebars",2,2,"Components",4,4,"Handlebars"
406,"HB-R720","ML Road Handlebars",2,2,"Components",4,4,"Handlebars"
407,"HB-R956","HL Road Handlebars",2,2,"Components",4,4,"Handlebars"
408,"HB-R956","HL Road Handlebars",2,2,"Components",4,4,"Handlebars"
409,"FR-M63B-38","ML Mountain Frame - Black, 38",2,2,"Components",12,12,"Mountain Frames"
410,"FW-M423","LL Mountain Front Wheel",2,2,"Components",17,17,"Wheels"
411,"FW-M762","ML Mountain Front Wheel",2,2,"Components",17,17,"Wheels"
412,"FW-M928","HL Mountain Front Wheel",2,2,"Components",17,17,"Wheels"
413,"FW-R623","LL Road Front Wheel",2,2,"Components",17,17,"Wheels"
414,"FW-R762","ML Road Front Wheel",2,2,"Components",17,17,"Wheels"
415,"FW-R820","HL Road Front Wheel",2,2,"Components",17,17,"Wheels"
416,"FW-T905","Touring Front Wheel",2,2,"Components",17,17,"Wheels"
417,"FR-R72Y-38","ML Road Frame-W - Yellow, 38",2,2,"Components",14,14,"Road Frames"
418,"FR-R72Y-38","ML Road Frame-W - Yellow, 38",2,2,"Components",14,14,"Road Frames"
419,"RW-M423","LL Mountain Rear Wheel",2,2,"Components",17,17,"Wheels"
420,"RW-M762","ML Mountain Rear Wheel",2,2,"Components",17,17,"Wheels"
421,"RW-M928","HL Mountain Rear Wheel",2,2,"Components",17,17,"Wheels"
422,"RW-R623","LL Road Rear Wheel",2,2,"Components",17,17,"Wheels"
423,"RW-R762","ML Road Rear Wheel",2,2,"Components",17,17,"Wheels"
424,"RW-R820","HL Road Rear Wheel",2,2,"Components",17,17,"Wheels"
425,"RW-T905","Touring Rear Wheel",2,2,"Components",17,17,"Wheels"
426,"FR-M63B-40","ML Mountain Frame - Black, 40",2,2,"Components",12,12,"Mountain Frames"
427,"FR-M63B-44","ML Mountain Frame - Black, 44",2,2,"Components",12,12,"Mountain Frames"
428,"FR-M63B-48","ML Mountain Frame - Black, 48",2,2,"Components",12,12,"Mountain Frames"
429,"FR-R72Y-40","ML Road Frame-W - Yellow, 40",2,2,"Components",14,14,"Road Frames"
430,"FR-R72Y-40","ML Road Frame-W - Yellow, 40",2,2,"Components",14,14,"Road Frames"
431,"FR-R72Y-42","ML Road Frame-W - Yellow, 42",2,2,"Components",14,14,"Road Frames"
432,"FR-R72Y-42","ML Road Frame-W - Yellow, 42",2,2,"Components",14,14,"Road Frames"
433,"FR-R72Y-44","ML Road Frame-W - Yellow, 44",2,2,"Components",14,14,"Road Frames"
434,"FR-R72Y-44","ML Road Frame-W - Yellow, 44",2,2,"Components",14,14,"Road Frames"
435,"FR-R72Y-48","ML Road Frame-W - Yellow, 48",2,2,"Components",14,14,"Road Frames"
436,"FR-R72Y-48","ML Road Frame-W - Yellow, 48",2,2,"Components",14,14,"Road Frames"
437,"FR-R92B-62","HL Road Frame - Black, 62",2,2,"Components",14,14,"Road Frames"
438,"FR-R92B-62","HL Road Frame - Black, 62",2,2,"Components",14,14,"Road Frames"
439,"FR-R92B-44","HL Road Frame - Black, 44",2,2,"Components",14,14,"Road Frames"
440,"FR-R92B-44","HL Road Frame - Black, 44",2,2,"Components",14,14,"Road Frames"
441,"FR-R92B-48","HL Road Frame - Black, 48",2,2,"Components",14,14,"Road Frames"
492,"FR-T98Y-60","HL Touring Frame - Yellow, 60",2,2,"Components",16,16,"Touring Frames"
493,"FR-T67Y-62","LL Touring Frame - Yellow, 62",2,2,"Components",16,16,"Touring Frames"
494,"FR-T98Y-46","HL Touring Frame - Yellow, 46",2,2,"Components",16,16,"Touring Frames"
495,"FR-T98Y-50","HL Touring Frame - Yellow, 50",2,2,"Components",16,16,"Touring Frames"
496,"FR-T98Y-54","HL Touring Frame - Yellow, 54",2,2,"Components",16,16,"Touring Frames"
497,"FR-T98U-46","HL Touring Frame - Blue, 46",2,2,"Components",16,16,"Touring Frames"
498,"FR-T98U-50","HL Touring Frame - Blue, 50",2,2,"Components",16,16,"Touring Frames"
499,"FR-T98U-54","HL Touring Frame - Blue, 54",2,2,"Components",16,16,"Touring Frames"
500,"FR-T98U-60","HL Touring Frame - Blue, 60",2,2,"Components",16,16,"Touring Frames"
501,"RD-2308","Rear Derailleur",2,2,"Components",9,9,"Derailleurs"
502,"FR-T67U-50","LL Touring Frame - Blue, 50",2,2,"Components",16,16,"Touring Frames"
503,"FR-T67U-54","LL Touring Frame - Blue, 54",2,2,"Components",16,16,"Touring Frames"
504,"FR-T67U-58","LL Touring Frame - Blue, 58",2,2,"Components",16,16,"Touring Frames"
505,"FR-T67U-62","LL Touring Frame - Blue, 62",2,2,"Components",16,16,"Touring Frames"
506,"FR-T67Y-44","LL Touring Frame - Yellow, 44",2,2,"Components",16,16,"Touring Frames"
507,"FR-T67Y-50","LL Touring Frame - Yellow, 50",2,2,"Components",16,16,"Touring Frames"
508,"FR-T67Y-54","LL Touring Frame - Yellow, 54",2,2,"Components",16,16,"Touring Frames"
509,"FR-T67Y-58","LL Touring Frame - Yellow, 58",2,2,"Components",16,16,"Touring Frames"
510,"FR-T67U-44","LL Touring Frame - Blue, 44",2,2,"Components",16,16,"Touring Frames"
511,"FR-M63S-40","ML Mountain Frame-W - Silver, 40",2,2,"Components",12,12,"Mountain Frames"
512,"FR-M63S-42","ML Mountain Frame-W - Silver, 42",2,2,"Components",12,12,"Mountain Frames"
513,"FR-M63S-46","ML Mountain Frame-W - Silver, 46",2,2,"Components",12,12,"Mountain Frames"
514,"RB-9231","Rear Brakes",2,2,"Components",6,6,"Brakes"
515,"SE-M236","LL Mountain Seat/Saddle",2,2,"Components",15,15,"Saddles"
516,"SE-M798","ML Mountain Seat/Saddle",2,2,"Components",15,15,"Saddles"
517,"SE-M940","HL Mountain Seat/Saddle",2,2,"Components",15,15,"Saddles"
518,"SE-R581","LL Road Seat/Saddle",2,2,"Components",15,15,"Saddles"
519,"SE-R908","ML Road Seat/Saddle",2,2,"Components",15,15,"Saddles"
520,"SE-R995","HL Road Seat/Saddle",2,2,"Components",15,15,"Saddles"
521,"SE-T312","LL Touring Seat/Saddle",2,2,"Components",15,15,"Saddles"
522,"SE-T762","ML Touring Seat/Saddle",2,2,"Components",15,15,"Saddles"
523,"SE-T924","HL Touring Seat/Saddle",2,2,"Components",15,15,"Saddles"
524,"FR-M21S-42","LL Mountain Frame - Silver, 42",2,2,"Components",12,12,"Mountain Frames"
525,"FR-M21S-44","LL Mountain Frame - Silver, 44",2,2,"Components",12,12,"Mountain Frames"
526,"FR-M21S-48","LL Mountain Frame - Silver, 48",2,2,"Components",12,12,"Mountain Frames"
527,"FR-M21S-52","LL Mountain Frame - Silver, 52",2,2,"Components",12,12,"Mountain Frames"
531,"FR-M21B-42","LL Mountain Frame - Black, 42",2,2,"Components",12,12,"Mountain Frames"
532,"FR-M21B-44","LL Mountain Frame - Black, 44",2,2,"Components",12,12,"Mountain Frames"
533,"FR-M21B-48","LL Mountain Frame - Black, 48",2,2,"Components",12,12,"Mountain Frames"
534,"FR-M21B-52","LL Mountain Frame - Black, 52",2,2,"Components",12,12,"Mountain Frames"
542,"PD-M282","LL Mountain Pedal",2,2,"Components",13,13,"Pedals"
